epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
29,179,,,,,,104373.453125,223.29437255859375
29,179,,,134264.28125,235.43141174316406,,,
30,184,,,,,257.4189147949219,,
30,185,,,,,,118251.0234375,229.52264404296875
30,185,,,114961.6015625,221.13247680664062,,,
31,189,,,,,209.01776123046875,,
31,191,,,,,,203741.265625,293.7533264160156
31,191,,,125286.1953125,227.14308166503906,,,
32,194,,,,,263.91790771484375,,
32,197,,,,,,104444.5234375,226.6317901611328
32,197,,,169487.171875,267.3535461425781,,,
33,199,,,,,165.9756622314453,,
33,203,,,,,,145392.09375,242.54290771484375
33,203,,,124440.546875,229.71441650390625,,,
34,204,,,,,292.8565368652344,,
34,209,,,,,241.6755828857422,,
34,209,,,,,,107147.625,239.2692413330078
34,209,,,134523.796875,238.00613403320312,,,
35,214,,,,,166.81509399414062,,
35,215,,,,,,105091.6953125,233.84457397460938
35,215,,,138325.9375,237.2473602294922,,,
36,219,,,,,214.5062255859375,,
36,221,,,,,,98644.3671875,220.61508178710938
36,221,,,109349.4140625,220.58558654785156,,,
37,224,,,,,203.32508850097656,,
37,227,,,,,,107417.8515625,242.15966796875
37,227,,,140317.765625,244.52098083496094,,,
38,229,,,,,244.66177368164062,,
38,233,,,,,,161810.734375,257.610595703125
38,233,,,146862.953125,245.1682586669922,,,
39,234,,,,,239.18310546875,,
39,239,,,,,227.36813354492188,,
39,239,,,,,,105881.8671875,211.60047912597656
39,239,,,134871.15625,246.02899169921875,,,
40,244,,,,,185.47958374023438,,
40,245,,,,,,143128.859375,238.7587890625
40,245,,,118840.4765625,228.31500244140625,,,
41,249,,,,,186.03875732421875,,
41,251,,,,,,95724.75,215.59349060058594
41,251,,,117357.6796875,220.7242431640625,,,
42,254,,,,,177.63536071777344,,
42,257,,,,,,106183.5234375,207.0595245361328
42,257,,,129039.265625,240.55467224121094,,,
43,259,,,,,185.96275329589844,,
43,263,,,,,,140244.515625,237.9194793701172
43,263,,,112964.609375,223.55908203125,,,
44,264,,,,,198.08697509765625,,
44,269,,,,,141.27154541015625,,
44,269,,,,,,96504.15625,215.41851806640625
44,269,,,113206.515625,225.54827880859375,,,
45,274,,,,,258.7896728515625,,
45,275,,,,,,100497.546875,212.8735809326172
45,275,,,125936.9453125,226.78726196289062,,,
46,279,,,,,168.89988708496094,,
46,281,,,,,,112053.5703125,216.81552124023438
46,281,,,115321.8828125,219.41098022460938,,,
47,284,,,,,191.8274688720703,,
47,287,,,,,,172325.703125,275.74737548828125
47,287,,,103175.90625,220.80361938476562,,,
48,289,,,,,200.739013671875,,
48,293,,,,,,94942.390625,214.65020751953125
48,293,,,136053.25,236.38671875,,,
49,294,,,,,241.01519775390625,,
49,299,,,,,84.27438354492188,,
49,299,,,,,,110351.328125,224.34031677246094
49,299,,,119515.671875,239.4286346435547,,,
50,300,110351.328125,224.34031677246094,,,,,
